sectperf;unit;geo;time;values
Business enterprise sector;Percentage of gross domestic product (GDP);Belgium;2000-01-01;1.39
Business enterprise sector;Percentage of gross domestic product (GDP);Bulgaria;2000-01-01;0.11
Business enterprise sector;Percentage of gross domestic product (GDP);Switzerland;2000-01-01;1.72
Business enterprise sector;Percentage of gross domestic product (GDP);Cyprus;2000-01-01;0.05
Business enterprise sector;Percentage of gross domestic product (GDP);Czechia;2000-01-01;0.67
Business enterprise sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2000-01-01;1.68
Business enterprise sector;Percentage of gross domestic product (GDP);Denmark;2000-01-01;1.46
Business enterprise sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2000-01-01;1.14
Business enterprise sector;Percentage of gross domestic product (GDP);Estonia;2000-01-01;0.14
Business enterprise sector;Percentage of gross domestic product (GDP);Greece;2000-01-01;0.14
Business enterprise sector;Percentage of gross domestic product (GDP);Spain;2000-01-01;0.47
Business enterprise sector;Percentage of gross domestic product (GDP);European Union (current composition);2000-01-01;1.15
Business enterprise sector;Percentage of gross domestic product (GDP);Finland;2000-01-01;2.3
Business enterprise sector;Percentage of gross domestic product (GDP);France;2000-01-01;1.31
Business enterprise sector;Percentage of gross domestic product (GDP);Hungary;2000-01-01;0.35
Business enterprise sector;Percentage of gross domestic product (GDP);Ireland;2000-01-01;0.78
Business enterprise sector;Percentage of gross domestic product (GDP);Iceland;2000-01-01;1.45
Business enterprise sector;Percentage of gross domestic product (GDP);Italy;2000-01-01;0.5
Business enterprise sector;Percentage of gross domestic product (GDP);Japan;2000-01-01;2.06
Business enterprise sector;Percentage of gross domestic product (GDP);South Korea;2000-01-01;1.61
Business enterprise sector;Percentage of gross domestic product (GDP);Lithuania;2000-01-01;0.13
Business enterprise sector;Percentage of gross domestic product (GDP);Luxembourg;2000-01-01;1.46
Business enterprise sector;Percentage of gross domestic product (GDP);Latvia;2000-01-01;0.18
