typ;śląskie;mazowieckie;lubelskie;małopolskie;opolskie;wielkopolskie;lubuskie;pomorskie;łódzkie;dolnośląskie;podlaskie;podkarpackie;zachodniopomorskie;warmińsko-mazurskie;kujawsko-pomorskie;świętokrzyskie;rok
Article;1301;3271;826;1790;287;937;129;725;564;1358;181;231;432;424;234;201;2013
ArticleA;2717;9099;2163;5400;258;3105;184;1986;2331;3313;846;450;1102;1151;1088;296;2013
ArticleB;5846;13785;3961;7520;766;5045;592;3000;3791;5238;1493;1514;2652;1875;2878;745;2013
ArticleC;143;1053;266;399;44;419;34;117;149;228;91;28;52;47;201;37;2013
Arti;10007;27208;7216;15109;1355;9506;939;5828;6835;10137;2611;2223;4238;3497;4401;1279;2013
Book;1186;3710;1045;1920;252;1569;107;562;604;1066;258;368;330;508;624;220;2013
Chapter;7567;14430;4018;8654;1493;4215;767;3437;3269;6109;1755;1423;2131;2850;2523;990;2013
Article;1632;4316;1077;2469;448;1343;171;1089;788;1724;217;332;707;511;233;347;2014
ArticleA;3097;9913;2315;5782;268;3439;169;2098;2707;3523;871;479;1087;1416;1164;294;2014
ArticleB;5941;13688;3894;7792;796;5014;537;3119;3748;5230;1571;1661;2486;2052;2553;858;2014
ArticleC;143;1116;257;439;40;482;46;104;166;232;77;22;34;54;247;57;2014
Arti;10813;29033;7543;16482;1552;10278;923;6410;7409;10709;2736;2494;4314;4033;4197;1556;2014
Book;1033;3712;903;1848;259;1505;101;502;481;997;231;352;252;640;595;225;2014
Chapter;7881;16012;4300;9808;1818;4662;928;3372;3949;6343;1799;1850;2246;3161;2528;1290;2014
Article;1531;3885;873;2286;426;1198;184;875;675;1481;244;434;533;571;279;187;2015
ArticleA;3345;10948;2460;6574;285;3848;221;2286;2807;3699;904;545;1181;1532;1272;386;2015
ArticleB;6167;13752;3837;7802;822;4605;513;3094;3657;4941;1497;1693;2641;1791;2567;756;2015
ArticleC;164;1135;310;460;50;470;35;107;210;249;73;41;45;77;227;38;2015
Arti;11207;29720;7480;17122;1583;10121;953;6362;7349;10370;2718;2713;4400;3971;4345;1367;2015
Book;979;3955;971;1958;237;1338;113;520;452;933;241;383;312;667;687;252;2015
Chapter;7831;15519;4734;10059;1660;4797;1029;3518;3338;5791;1849;1830;2243;3389;2778;1105;2015
Article;1124;3098;621;2110;349;896;130;723;571;1211;200;289;352;344;302;161;2016
ArticleA;3728;11893;2547;7210;311;4046;237;2671;2799;3930;966;653;1141;1274;1293;362;2016
ArticleB;5695;13339;4126;7574;824;4230;480;3221;3699;4437;1541;1777;2617;1494;2677;1025;2016
ArticleC;112;1015;265;424;44;428;16;110;189;153;74;43;31;44;206;53;2016
Arti;10659;29345;7559;17318;1528;9600;863;6725;7258;9731;2781;2762;4141;3156;4478;1601;2016
Book;983;3610;874;1740;235;1471;104;550;621;788;318;342;302;419;632;313;2016
Chapter;7178;13746;4260;9357;1413;4715;871;4314;3279;5494;1851;1821;2321;2481;2662;1463;2016
Article;1485;3125;743;2074;435;1130;99;777;611;1245;298;395;377;422;360;139;2017
ArticleA;3337;11023;2689;6791;265;3749;3;2390;2854;3771;990;667;1048;1041;1285;378;2017
ArticleB;5182;10812;3866;6261;649;3375;70;3017;2971;4075;1255;1393;2370;1097;2157;801;2017
ArticleC;154;812;202;372;43;289;1;76;172;109;71;13;30;42;178;37;2017
Arti;10158;25772;7500;15498;1392;8543;173;6260;6608;9200;2614;2468;3825;2602;3980;1355;2017
Book;764;2798;602;1126;179;677;70;386;320;636;212;171;200;360;319;159;2017
Chapter;6668;10794;3835;7069;1038;2891;183;2555;2820;5070;1662;1176;1805;2149;2139;609;2017
