n;year;dest;bins
   3;2016;Armenia;1 - 100
 481;2016;Australia;101 - 1000
 832;2016;Austria;101 - 1000
   1;2016;Azerbaijan;1 - 100
  10;2016;Belarus;1 - 100
 246;2015;Belgium;101 - 1000
   5;2016;Bosnia and Herzegovina;1 - 100
  28;2015;Brazil;1 - 100
  27;2016;Bulgaria;1 - 100
 138;2016;Canada;101 - 1000
   1;2016;Chile;1 - 100
  10;2016;China, Hong Kong;1 - 100
   3;2016;China, Macao;1 - 100
   3;2016;Colombia;1 - 100
   2;2016;Croatia;1 - 100
   4;2015;Cyprus;1 - 100
 360;2015;Czech Republic;101 - 1000
1383;2016;Denmark;1001 - 5000
   1;2016;Dominican Republic;1 - 100
   4;2015;Ecuador;1 - 100
   8;2015;Estonia;1 - 100
 203;2016;Finland;101 - 1000
1838;2015;France;1001 - 5000
  11;2016;Georgia;1 - 100
5508;2015;Germany;> 5000
 227;2016;Hungary;101 - 1000
  81;2014;Iceland;1 - 100
   6;2016;India;1 - 100
   5;2016;Iran, Islamic Rep.;1 - 100
 211;2016;Ireland;101 - 1000
  47;2014;Israel;1 - 100
1322;2015;Italy;1001 - 5000
 139;2015;Japan;101 - 1000
   5;2016;Jordan;1 - 100
   1;2017;Kazakhstan;1 - 100
  40;2015;Korea, Rep.;1 - 100
  55;2015;Latvia;1 - 100
   2;2016;Liechtenstein;1 - 100
  88;2016;Lithuania;1 - 100
  41;2015;Luxembourg;1 - 100
   4;2016;Malaysia;1 - 100
  12;2016;Malta;1 - 100
   3;2016;Mongolia;1 - 100
   2;2016;Morocco;1 - 100
  24;2016;New Zealand;1 - 100
 253;2016;Norway;101 - 1000
 116;2016;Portugal;101 - 1000
   5;2016;Qatar;1 - 100
   1;2016;Republic of Moldova;1 - 100
  19;2016;Romania;1 - 100
  62;2016;Russia;1 - 100
  12;2016;Saudi Arabia;1 - 100
   3;2016;Serbia;1 - 100
 463;2015;Slovakia;101 - 1000
   9;2015;Slovenia;1 - 100
   8;2015;South Africa;1 - 100
 324;2016;Spain;101 - 1000
 301;2015;Sweden;101 - 1000
 557;2016;Switzerland;101 - 1000
   9;2015;Thailand;1 - 100
  43;2015;Turkey;1 - 100
 672;2016;Ukraine;101 - 1000
  47;2016;United Arab Emirates;1 - 100
5237;2015;United Kingdom;> 5000
1318;2015;United States;1001 - 5000
