geo;isced6;isced7;typ;brak
Australia;31,06934777;0;method 1;a
Austria;23,25942869;36,83844001;method 1;-
Belgia (Fl.);38,44915975;0;method 1;a
Czechy;37,36793399;28,9893228;method 1;-
Dania;49,76741482;0;method 1;m
Estonia;33,66705642;35,591133;method 1;-
Finlandia;42,55416056;0;method 1;m
Francja;43,46748889;53,87333881;method 1;-
Izrael;46,88477116;0;method 1;m
Holandia;31,61128229;0;method 1;m
Norwegia;49,87274863;58,73721654;method 1;-
Nowa Zelandia;35,53315735;0;method 1;a
Szwecja;36,44547639;51,79572348;method 1;-
Wielka Brytania;71,11518182;79,33468717;method 1;-
Stany Zjednoczone;48,99224141;0;method 1;m
 Średnia;41,33712333;49,30855169;method 1;-
Brazylia;48,31468272;0;method 2;a
Irlandia;94,47758519;0;method 2;a
Japonia;92,35517754;0;method 2;m
Korea;85,32497637;0;method 2;m
Portugalia;64,73722846;71,45333455;method 2;-
Słowenia;46,63732722;59,73782772;method 2;-
Turcja;93,62730496;83,86078803;method 2;-
Średnia;75,06775464;71,68398343;method 2;-
